"distance","cab_type","time_stamp","destination","source","price","surge_multiplier","id","product_id","name"
"0.44","Lyft","1544952607890","North Station","Haymarket Square","5","1","424553bb-7174-41ea-aeb4-fe06d4f4b9d7","lyft_line","Shared"
"0.44","Lyft","1543284023677","North Station","Haymarket Square","11","1","4bd23055-6827-41c6-b23b-3c491f24e74d","lyft_premier","Lux"
"0.44","Lyft","1543366822198","North Station","Haymarket Square","7","1","981a3613-77af-4620-a42a-0c0866077d1e","lyft","Lyft"
"0.44","Lyft","1543553582749","North Station","Haymarket Square","26","1","c2d88af2-d278-4bfd-a8d0-29ca77cc5512","lyft_luxsuv","Lux Black XL"
"0.44","Lyft","1543463360223","North Station","Haymarket Square","9","1","e0126e1f-8ca9-4f2e-82b3-50505a09db9a","lyft_plus","Lyft XL"
"0.44","Lyft","1545071112138","North Station","Haymarket Square","16.5","1","f6f6d7e4-3e18-4922-a5f5-181cdd3fa6f2","lyft_lux","Lux Black"
"1.08","Lyft","1543208580200","Northeastern University","Back Bay","10.5","1","462816a3-820d-408b-8549-0b39e82f65ac","lyft_plus","Lyft XL"
"1.08","Lyft","1543780384677","Northeastern University","Back Bay","16.5","1","474d6376-bc59-4ec9-bf57-4e6d6faeb165","lyft_lux","Lux Black"
"1.08","Lyft","1543818482645","Northeastern University","Back Bay","3","1","4f9fee41-fde3-4767-bbf1-a00e108701fb","lyft_line","Shared"
"1.08","Lyft","1543315522249","Northeastern University","Back Bay","27.5","1","8612d909-98b8-4454-a093-30bd48de0cb3","lyft_luxsuv","Lux Black XL"
"1.08","Lyft","1543594383882","Northeastern University","Back Bay","13.5","1","9043bf77-1d45-4a93-9520-a083e0277f16","lyft_premier","Lux"
"1.08","Lyft","1543432987778","Northeastern University","Back Bay","7","1","d859ec69-b3ff-4af8-9abd-441e31430c94","lyft","Lyft"
"0.72","Lyft","1544940911553","Haymarket Square","North Station","11","1","18d580ac-c91a-4b6d-aa75-ab62566f713e","lyft_plus","Lyft XL"
"0.72","Lyft","1543346302541","Haymarket Square","North Station","16.5","1","3ef5c509-f292-42ef-b39c-bce7059006a0","lyft_lux","Lux Black"
"0.72","Lyft","1545132905654","Haymarket Square","North Station","7","1","5ef44fdf-c5d3-4d07-967a-a8710e537e74","lyft","Lyft"
"0.72","Lyft","1543544884042","Haymarket Square","North Station","3.5","1","a7c1afce-9781-41c9-b6a6-df109ad43ccd","lyft_line","Shared"
"0.72","Lyft","1544978406463","Haymarket Square","North Station","26","1","d0782aae-4cfa-45df-b6e4-e300b09c2563","lyft_luxsuv","Lux Black XL"
"0.72","Lyft","1543218371798","Haymarket Square","North Station","13.5","1","f4f03d2d-434b-41f3-935a-c29e3f2de8bd","lyft_premier","Lux"
"3.24","Lyft","1543289422292","Northeastern University","North Station","3.5","1","00dd58fc-fa9e-4eeb-bb6e-dfeb94611e85","lyft_line","Shared"
