"distance","cab_type","time_stamp","destination","source","price","surge_multiplier","id","product_id","name"
"1.11","Uber","1543615981179","West End","North End","12","1","009e9c53-074d-43cf-aef2-0fbc7a47ed3d","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"1.11","Uber","1544698211014","West End","North End","16","1","23f145da-f0c1-4d1f-a184-496bc003a7db","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"1.11","Uber","1544728503935","West End","North End","7.5","1","357559cb-8c58-4278-a41a-e33b2e0997a3","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"1.11","Uber","1545004511430","West End","North End","7.5","1","50ef1165-9d23-416c-a65c-18906207b295","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"1.11","Uber","1544748007961","West End","North End","26","1","91c4861c-1780-42b0-bca1-bbd64a422cc3","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"1.11","Uber","1543519080802","West End","North End","5.5","1","e219e545-a006-4936-a6cc-7d00adf0e418","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"1.11","Uber","1543673584211","West End","North End","NULL","1","fa5fb705-03a0-4eb9-82d9-7fe80872f754","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"2.48","Uber","1545079209832","South Station","Beacon Hill","8.5","1","1d451059-895c-4179-8cec-40adfbc4f6d3","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"2.48","Uber","1544931613778","South Station","Beacon Hill","15","1","1f64fcff-b01f-4b64-90f4-5c866d717317","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
"2.48","Uber","1543324882052","South Station","Beacon Hill","20.5","1","2ca4699c-21e1-4fb4-9cc2-1d6221199d08","6c84fd89-3f11-4782-9b50-97c468b19529","Black"
"2.48","Uber","1544697611531","South Station","Beacon Hill","8.5","1","4149295f-4534-4712-b2cf-160308528c75","55c66225-fbe7-4fd5-9072-eab1ece5e23e","UberX"
"2.48","Uber","1545085512519","South Station","Beacon Hill","7","1","80d2a972-2686-4edc-bc22-ddccdf211fde","997acbb5-e102-41e1-b155-9df7de0a73f2","UberPool"
"2.48","Uber","1544817908118","South Station","Beacon Hill","27.5","1","8674e79f-4c5b-4a2e-8327-a68997d5d740","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"2.48","Uber","1543794776318","South Station","Beacon Hill","NULL","1","eee70d94-6706-4b95-a8ce-0e34f0fa8f37","8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a","Taxi"
"2.94","Uber","1543638777654","Fenway","North Station","29.5","1","39f120bf-ddc0-4d27-8ab4-bb7d46ecf8e3","6d318bcc-22a3-4af6-bddd-b409bfce1546","Black SUV"
"2.94","Uber","1543414987719","Fenway","North Station","9.5","1","4d36b792-8973-4dd2-aaf9-aacaac046bd5","9a0e7b09-b92b-4c41-9779-2ad22b4d779d","WAV"
"2.94","Uber","1543739576844","Fenway","North Station","15","1","53bc8bc7-0b27-4648-9742-d7956d2a13a8","6f72dfc5-27f1-42e8-84db-ccc7a75f6969","UberXL"
